site_code,latitude,longitude,depth,site_name,survey_date,visibility,hour,Urchins,Turban_Snails,urch_sn_ratio,sst,dominant_score,secondary_score,openness,norm_openness,region1,region2,region3,region4,mean_app_fishing_hours,mean_rec_boat_counts_500m,mean_rec_boat_counts_1km,mean_rec_boat_counts_1.5km,mean_rec_boat_counts_750m,mean_rec_boat_counts_2km,mean_total_boat_counts_1km,mean_total_boat_counts_1.5km,mean_total_boat_counts_2km
BMSC18,48.91161728,-125.2670364,8.5,Eussen Rock,2024-05-02,3,11:39:00,185,45,0.6067551125363423,11.92390921456473,4,3,63463.6662962733,0.015595586099602056,Broken Group,Broken Group,Broken Group,Broken Group,0,0,0,0.6666666666666666,0,29.333333333333332,0.3333333333333333,1,30.666666666666668
BMSC19,48.82860184,-125.2212982,8.5,Ed King SW Pyramid,2024-04-25,3,12:06:00,271,0,2.4345689040341987,11.40007353283113,4,3,4069335.1241151923,1,Deer group/Bamfield,Deer group,Imperial Eagle,Deer group,0,0.3333333333333333,1.6666666666666667,10,1,20,2,13,24
BMSC2,48.85039902,-125.1987686,4,Kirby,2024-04-29,3.5,14:51:00,472,275,0.2339520586725939,11.721158256732622,3,4,189208.77395479774,0.04649623788257989,Deer group/Bamfield,Deer group,Imperial Eagle,Deer group,7.329999999999999,1.6666666666666667,54.333333333333336,78,23,94.66666666666667,57.333333333333336,82.66666666666667,101
BMSC20,48.83566666,-125.214798,6.7,Ed King East,2024-04-25,3.5,09:58:00,475,2,2.2004856980008305,11.40007353283113,4,3,1361016.688519489,0.3344567716858707,Deer group/Bamfield,Deer group,Imperial Eagle,Deer group,0.5066666666666667,1.3333333333333333,6.333333333333333,24.333333333333332,3.6666666666666665,41,6.666666666666667,26,44.333333333333336
BMSC21,48.85205078,-125.1235657,6.5,Dixon SW,2024-04-30,3.5,09:41:00,374,16,1.343582346349445,11.72057600071821,4,3,1408327.5728287841,0.3460829668421573,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield,0.6566666666666666,14.666666666666666,45.666666666666664,107,25.333333333333332,159.66666666666666,48.333333333333336,118.33333333333333,175.66666666666666
BMSC22,48.85426712,-125.1170349,5.5,Dixon Inside,2024-04-30,2,11:53:00,148,77,0.28109166572179367,11.72057600071821,3,4,84262.85756300889,0.02070678747092141,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield,0.6566666666666666,0,25,96.33333333333333,16.666666666666668,159.33333333333334,26,102.33333333333333,175.66666666666666
BMSC23,48.837589,-125.144145,6.7,Aguilar Point,2024-05-03,2.5,12:50:00,454,3,2.05595140532915,11.385417425569415,4,3,2080595.3652593626,0.5112863162656707,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield,9.246666666666666,18.666666666666668,71.66666666666667,95,37.666666666666664,124,98,127.33333333333333,159.66666666666666
BMSC24,48.916073,-125.131174,10.5,Swiss Boy,2024-04-24,4,13:03:00,238,24,0.9804578922761001,11.9449411543589,4,3,2648778.951841533,0.6509119723624298,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel,0,0,3.3333333333333335,14,0,34,4,15.333333333333334,36.333333333333336
BMSC24,48.916073,-125.131174,5.5,Swiss Boy,2024-04-24,3,13:03:00,214,2,1.855317205195943,11.9449411543589,4,3,2648778.951841533,0.6509119723624298,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel,0,0,3.3333333333333335,14,0,34,4,15.333333333333334,36.333333333333336
BMSC25,48.838595,-125.135015,5.5,Goby Town,2024-04-23,3,14:50:00,203,3,1.7075701760979363,11.385417425569415,3,3,76087.15465615729,0.018697687050953107,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield,9.246666666666666,1,3.3333333333333335,48,2,123.66666666666667,21.666666666666668,72.33333333333333,156.33333333333334
BMSC25,48.838595,-125.135015,6,Goby Town,2024-04-23,3,14:48:00,172,17,0.9827735980254894,11.385417425569415,3,4,76087.15465615729,0.018697687050953107,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield,9.246666666666666,1,3.3333333333333335,48,2,123.66666666666667,21.666666666666668,72.33333333333333,156.33333333333334
BMSC26,48.9071,-125.037017,6.5,Hosie South,2024-04-24,1.5,10:06:00,0,85,-1.9344984512435677,11.829781781554857,4,2,741148.2449871616,0.18213005869068394,Sarita,Sarita,Trevor Channel,Bamfield,0.87,0.3333333333333333,2,4.333333333333333,0.3333333333333333,15.666666666666666,3.3333333333333335,7.666666666666667,24.666666666666668
BMSC26,48.9071,-125.037017,8,Hosie South,2024-04-24,1.5,10:06:00,1,199,-2,11.829781781554857,4,3,741148.2449871616,0.18213005869068394,Sarita,Sarita,Trevor Channel,Bamfield,0.87,0.3333333333333333,2,4.333333333333333,0.3333333333333333,15.666666666666666,3.3333333333333335,7.666666666666667,24.666666666666668
BMSC27,48.901183,-125.060433,8.5,San Jose North Island,2024-05-03,3,10:25:00,243,68,0.5485407356014741,11.892401591306054,4,3,779297.9405095462,0.19150497974260383,Sarita,Sarita,Trevor Channel,Bamfield,0,0.6666666666666666,1.6666666666666667,3.3333333333333335,0.6666666666666666,7.666666666666667,3.3333333333333335,7,13
BMSC3,48.85558319,-125.1837997,6,Ohiat,2024-04-29,3.5,12:23:00,661,69,0.9757599494254431,11.721158256732622,4,3,209022.64141526553,0.051365305397577436,Deer group/Bamfield,Deer group,Imperial Eagle,Deer group,0.32,1,33,89.66666666666667,10.333333333333334,124.33333333333333,36.666666666666664,98.66666666666667,135
BMSC4,48.81511688,-125.1753311,8.5,Kii xin,2024-04-29,3,10:09:00,279,0,2.4471580313422194,11.390787711976088,4,2,2687962.2736867084,0.6605408971499146,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield,1.3733333333333333,0,34.333333333333336,48.666666666666664,8,66.66666666666667,36,52.333333333333336,71.66666666666667
BMSC5,48.82733154,-125.1966019,6,Taylor Rock,2024-04-23,1.5,09:48:00,506,133,0.5779031609685283,11.390787711976088,3,4,59641.681429146956,0.014656370048194305,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,3,1,2,4.333333333333333
BMSC5,48.82733154,-125.1966019,6.5,Taylor Rock,2024-04-23,1.5,09:50:00,352,178,0.2949216744079294,11.390787711976088,4,3,59641.681429146956,0.014656370048194305,Deer group/Bamfield,Deer group,Trevor Channel,Deer group,0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,3,1,2,4.333333333333333
BMSC6,48.95023346,-125.1555481,11,Baeria Rocks South Island,2024-04-22,1.5,12:45:00,360,3,1.9554472105776954,12.077930381815293,4,3,154849.7547389511,0.0380528391041818,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel,0,0,0.3333333333333333,2.6666666666666665,0,3,0.6666666666666666,4.333333333333333,7
BMSC6,48.95023346,-125.1555481,8,Baeria Rocks South Island,2024-04-22,1.5,12:43:00,635,99,0.8034571156484139,12.077930381815293,4,3,154849.7547389511,0.0380528391041818,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel,0,0,0.3333333333333333,2.6666666666666665,0,3,0.6666666666666666,4.333333333333333,7
BMSC8,48.95508194,-125.1533737,7.5,Baeria Rocks North Island Northside,2024-04-22,1,10:10:00,482,362,0.12404050571539964,12.077930381815293,3,4,115491.84244282765,0.028381010391209643,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel,0,0,0.3333333333333333,2.6666666666666665,0,3,1,4.666666666666667,5.333333333333333
BMSC8,48.95508194,-125.1533737,8.5,Baeria Rocks North Island Northside,2024-04-22,1.5,10:12:00,467,152,0.4855544222565252,12.077930381815293,4,3,115491.84244282765,0.028381010391209643,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel,0,0,0.3333333333333333,2.6666666666666665,0,3,1,4.666666666666667,5.333333333333333
BMSC9,48.83478928,-125.1470261,6.5,Eagle Bay,2024-04-23,2,12:36:00,201,1,2.0043213737826426,11.385417425569415,3,4,2050108.448655775,0.5037944494929097,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield,2.8533333333333335,14.666666666666666,76.33333333333333,103.33333333333333,70,117,84.66666666666667,135.66666666666666,154
