site_code,latitude,longitude,depth,site_name,survey_date,visibility,hour,Urchins,Turban_Snails,urch_sn_ratio,sn_urch_ratio,urchin_dens,snail_dens,sst,dominant_score,secondary_score,openness,norm_openness,mean_rec_boat_counts_1km,mean_rec_boat_counts_1.5km,mean_rec_boat_counts_2km,region1,region2,region3,region4
BMSC2,48.85039902,-125.1987686,4,Kirby,2024-04-29,3.5,14:51:00,472,275,0.2339520586725939,-0.2339520586725939,4.72,2.75,11.721158256732622,3,4,189208.77395479774,0.04649623788257989,54.333333333333336,78,94.66666666666667,Deer group/Bamfield,Deer group,Imperial Eagle,Deer group
BMSC20,48.83566666,-125.214798,6.7,Ed King East,2024-04-25,3.5,09:58:00,475,2,2.2004856980008305,-2.2004856980008305,4.75,0.02,11.40007353283113,4,3,1361016.688519489,0.3344567716858707,6.333333333333333,24.333333333333332,41,Deer group/Bamfield,Deer group,Imperial Eagle,Deer group
BMSC21,48.85205078,-125.1235657,6.5,Dixon SW,2024-04-30,3.5,09:41:00,374,16,1.343582346349445,-1.343582346349445,3.74,0.16,11.72057600071821,4,3,1408327.5728287841,0.3460829668421573,45.666666666666664,107,159.66666666666666,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield
BMSC22,48.85426712,-125.1170349,5.5,Dixon Inside,2024-04-30,2,11:53:00,148,77,0.28109166572179367,-0.2810916657217936,1.48,0.77,11.72057600071821,3,4,84262.85756300889,0.02070678747092141,25,96.33333333333333,159.33333333333334,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield
BMSC23,48.837589,-125.144145,6.7,Aguilar Point,2024-05-03,2.5,12:50:00,454,3,2.05595140532915,-2.05595140532915,4.54,0.03,11.385417425569415,4,3,2080595.3652593626,0.5112863162656707,71.66666666666667,95,124,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield
BMSC24,48.916073,-125.131174,10.5,Swiss Boy,2024-04-24,4,13:03:00,238,24,0.9804578922761001,-0.9804578922761001,2.38,0.24,11.9449411543589,4,3,2648778.951841533,0.6509119723624298,3.3333333333333335,14,34,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel
BMSC24,48.916073,-125.131174,5.5,Swiss Boy,2024-04-24,3,13:03:00,214,2,1.855317205195943,-1.855317205195943,2.14,0.02,11.9449411543589,4,3,2648778.951841533,0.6509119723624298,3.3333333333333335,14,34,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel
BMSC25,48.838595,-125.135015,5.5,Goby Town,2024-04-23,3,14:50:00,203,3,1.7075701760979363,-1.7075701760979363,2.03,0.03,11.385417425569415,3,3,76087.15465615729,0.018697687050953107,3.3333333333333335,48,123.66666666666667,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield
BMSC25,48.838595,-125.135015,6,Goby Town,2024-04-23,3,14:48:00,172,17,0.9827735980254894,-0.9827735980254894,1.72,0.17,11.385417425569415,3,4,76087.15465615729,0.018697687050953107,3.3333333333333335,48,123.66666666666667,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield
BMSC26,48.9071,-125.037017,6.5,Hosie South,2024-04-24,1.5,10:06:00,0,85,-1.9344984512435677,1.9344984512435677,0,0.85,11.829781781554857,4,2,741148.2449871616,0.18213005869068394,2,4.333333333333333,15.666666666666666,Sarita,Sarita,Trevor Channel,Bamfield
BMSC26,48.9071,-125.037017,8,Hosie South,2024-04-24,1.5,10:06:00,1,199,-2,2,0.01,1.99,11.829781781554857,4,3,741148.2449871616,0.18213005869068394,2,4.333333333333333,15.666666666666666,Sarita,Sarita,Trevor Channel,Bamfield
BMSC27,48.901183,-125.060433,8.5,San Jose North Island,2024-05-03,3,10:25:00,243,68,0.5485407356014741,-0.5485407356014741,2.43,0.68,11.892401591306054,4,3,779297.9405095462,0.19150497974260383,1.6666666666666667,3.3333333333333335,7.666666666666667,Sarita,Sarita,Trevor Channel,Bamfield
BMSC3,48.85558319,-125.1837997,6,Ohiat,2024-04-29,3.5,12:23:00,661,69,0.9757599494254431,-0.9757599494254431,6.61,0.69,11.721158256732622,4,3,209022.64141526553,0.051365305397577436,33,89.66666666666667,124.33333333333333,Deer group/Bamfield,Deer group,Imperial Eagle,Deer group
BMSC4,48.81511688,-125.1753311,8.5,Kii xin,2024-04-29,3,10:09:00,279,0,2.4471580313422194,-2.4471580313422194,2.79,0,11.390787711976088,4,2,2687962.2736867084,0.6605408971499146,34.333333333333336,48.666666666666664,66.66666666666667,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield
BMSC5,48.82733154,-125.1966019,6,Taylor Rock,2024-04-23,1.5,09:48:00,506,133,0.5779031609685283,-0.5779031609685283,5.06,1.33,11.390787711976088,3,4,59641.681429146956,0.014656370048194305,0.6666666666666666,1.3333333333333333,3,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC5,48.82733154,-125.1966019,6.5,Taylor Rock,2024-04-23,1.5,09:50:00,352,178,0.2949216744079294,-0.29492167440792944,3.52,1.78,11.390787711976088,4,3,59641.681429146956,0.014656370048194305,0.6666666666666666,1.3333333333333333,3,Deer group/Bamfield,Deer group,Trevor Channel,Deer group
BMSC6,48.95023346,-125.1555481,11,Baeria Rocks South Island,2024-04-22,1.5,12:45:00,360,3,1.9554472105776954,-1.9554472105776954,3.6,0.03,12.077930381815293,4,3,154849.7547389511,0.0380528391041818,0.3333333333333333,2.6666666666666665,3,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel
BMSC6,48.95023346,-125.1555481,8,Baeria Rocks South Island,2024-04-22,1.5,12:43:00,635,99,0.8034571156484139,-0.8034571156484139,6.35,0.99,12.077930381815293,4,3,154849.7547389511,0.0380528391041818,0.3333333333333333,2.6666666666666665,3,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel
BMSC8,48.95508194,-125.1533737,7.5,Baeria Rocks North Island Northside,2024-04-22,1,10:10:00,482,362,0.12404050571539964,-0.12404050571539964,4.82,3.62,12.077930381815293,3,4,115491.84244282765,0.028381010391209643,0.3333333333333333,2.6666666666666665,3,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel
BMSC8,48.95508194,-125.1533737,8.5,Baeria Rocks North Island Northside,2024-04-22,1.5,10:12:00,467,152,0.4855544222565252,-0.48555442225652523,4.67,1.52,12.077930381815293,4,3,115491.84244282765,0.028381010391209643,0.3333333333333333,2.6666666666666665,3,Deep Imperial Eagle Channel,Deep Imperial Eagle Channel,Imperial Eagle,Deep Imperial Eagle Channel
BMSC9,48.83478928,-125.1470261,6.5,Eagle Bay,2024-04-23,2,12:36:00,201,1,2.0043213737826426,-2.0043213737826426,2.01,0.01,11.385417425569415,3,4,2050108.448655775,0.5037944494929097,76.33333333333333,103.33333333333333,117,Deer group/Bamfield,Bamfield,Trevor Channel,Bamfield
