ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,Depth,Method,Block,Quadrat # (m),Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
10,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,48,Pmi,Patiria miniata,Bat star,3,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,48,Mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,32,Mfra,Mesocentrotus franciscanus,Red sea urchin,8,0,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,32,Pmi,Patiria miniata,Bat star,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,16,Pmi,Patiria miniata,Bat star,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,16,Mfra,Mesocentrotus franciscanus,Red sea urchin,6,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,16,Oko,Orthasterias koehleri,Rainbow star,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,0,Mfra,Mesocentrotus franciscanus,Red sea urchin,10,0,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jasmin Schuster,Tom Bird,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:43,8,2,1,0,Pmi,Patiria miniata,Bat star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Em Lim,Isabelle Cote,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22-04-2024,1.5,SE,10:12,8.5,2,2,40,poc,Pisaster ochraceus,Purple sea star,8,0,,,,,,,4,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Em Lim,Isabelle Cote,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,2,40,dim,Dermasterias imbricata,Leather star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Em Lim,Isabelle Cote,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,2,40,pmi,Patiria miniata,Bat star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Em Lim,Isabelle Cote,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Em Lim,Isabelle Cote,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,10,0,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Em Lim,Isabelle Cote,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,2,24,poc,Pisaster ochraceus,Purple sea star,2,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Em Lim,Isabelle Cote,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,7,0,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,2,40,pmi,Patiria miniata,Bat star,3,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,8,0,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,2,24,pmi,Patiria miniata,Bat star,3,0,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,2,8,pmi,Patiria miniata,Bat star,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,1,0,mfra,Mesocentrotus franciscanus,Red sea urchin,8,0,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Em Lim,Isabelle Cote,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,1,0,pmi,Patiria miniata,Bat star,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Isabelle Cote,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,7,0,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Isabelle Cote,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,10,0,,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Isabelle Cote,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,1,32,poc,Pisaster ochraceus,Purple sea star,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Isabelle Cote,Em Lim,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,2024-04-22,1.5,SE,10:12,8.5,2,1,32,pmi,Patiria miniata,Bat star,3,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Isabelle Cote,Em Lim,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Isabelle Cote,Em Lim,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,1,48,oko,Orthasterias koehleri,Rainbow star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Isabelle Cote,Em Lim,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,9,0,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Isabelle Cote,Em Lim,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,1,32,pmi,Patiria miniata,Bat star,3,0,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Isabelle Cote,Em Lim,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,2024-04-22,1.5,SW,12:45,11,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Isabelle Cote,Em Lim,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,E,9:50,6.5,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,10,0,,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Isabelle Cote,Em Lim,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,E,9:50,6.5,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,13,0,,5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Isabelle Cote,Em Lim,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,E,9:50,6.5,2,1,32,dim,Dermasterias imbricata,Leather star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,6,0,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,32,Sdr,Strongylocentrotus droebachiensis,Northern sea urchin,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,32,Pmi,Patiria miniata,Bat star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,32,Oko,Orthasterias koehleri,Rainbow star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,16,Pmi,Patiria miniata,Bat star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,13,0,1,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,16,Spu,Strongylocentrotus purpuratus,Purple sea urchin (?),1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Jasmin Schuster,Tom Bird,BMSC5,Taylor Rock,48.82733154,-125.1966019,4/23/2024,1.5,NW,9:48,6,2,1,0,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,48,Pmi,Patiria miniata,Bat star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,40,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,32,Pmi,Patiria miniata,Bat star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,24,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,24,Poc,Pisaster ochraceus,Purple sea star,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,24,Henricia,Henricia sp.,Unidentified blood star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,16,Poc,Pisaster ochraceus,Purple sea star,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,8,mfra,Mesocentrotus franciscanus,Red sea urchin,2,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,8,Dim,Dermasterias imbricata,Leather star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,8,Henricia,Henricia sp.,Unidentified blood star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Jasmin Schuster,Tom Bird,BMSC9,Eagle Bay,48.83478928,-125.1470261,4/23/2024,2,SW,12:36,6.5,2,1,0,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Jasmin Schuster,Tom Bird,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,S,14:50,5.5,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Jasmin Schuster,Tom Bird,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,S,14:50,5.5,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Jasmin Schuster,Tom Bird,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,S,14:50,5.5,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Jasmin Schuster,Tom Bird,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,S,14:50,5.5,2,1,0,mfra,Mesocentrotus franciscanus,Red sea urchin,3,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Jasmin Schuster,Tom Bird,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,S,14:50,5.5,2,1,0,Pmi,Patiria miniata,Bat star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Isabelle Cote,Em Lim,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,1,48,mfra,Mesocentrotus franciscanus,Red sea urchin,2,0,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Isabelle Cote,Em Lim,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,1,32,mfra,Mesocentrotus franciscanus,Red sea urchin,7,0,,2,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Isabelle Cote,Em Lim,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,1,32,oko,Orthasterias koehleri,Rainbow star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Isabelle Cote,Em Lim,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,1,16,mfra,Mesocentrotus franciscanus,Red sea urchin,10,0,,1,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Isabelle Cote,Em Lim,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,1,16,pmi,Patiria miniata,Bat star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Isabelle Cote,Em Lim,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,1,16,dim,Dermasterias imbricata,Leather star,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Isabelle Cote,Em Lim,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,1,16,etr,Evasterias troschelii,Mottled starfish,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Em Lim,Isabelle Cote,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,1,0,mfra,Mesocentrotus franciscanus,Red sea urchin,2,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Em Lim,Isabelle Cote,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,6,0,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Em Lim,Isabelle Cote,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,2,40,dim,Dermasterias imbricata,Leather star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Em Lim,Isabelle Cote,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,2,40,etr,Evasterias troschelii,Mottled starfish,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Em Lim,Isabelle Cote,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Em Lim,Isabelle Cote,BMSC25,Goby Town,48.838595,-125.135015,4/23/2024,3,NW,14:48,6,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,5,0,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,40,mfra,Mesocentrotus franciscanus,Red sea urchin,9,0,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,40,oko,Orthasterias koehleri,Rainbow star,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,24,mfra,Mesocentrotus franciscanus,Red sea urchin,7,0,,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,24,dim,Dermasterias imbricata,Leather star,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Em Lim,Isabelle Cote,BMSC5,Taylor Rock,48.82733154,-125.1966019,2024-04-23,1.5,E,9:50,6.5,2,2,8,mfra,Mesocentrotus franciscanus,Red sea urchin,4,0,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
